,tweet_id,retweet_count,favorite_count
0,892420643555336193,8189,37527
1,892177421306343426,6057,32256
2,891815181378084864,4005,24300
3,891689557279858688,8337,40869
4,891327558926688256,9033,39064
5,891087950875897856,3000,19642
6,890971913173991426,1984,11475
7,890729181411237888,18181,63307
8,890609185150312448,4120,27013
9,890240255349198849,7108,30940
10,890006608113172480,7069,29766
11,889880896479866881,4801,26995
12,889665388333682689,9673,46651
13,889638837579907072,4372,26294
14,889531135344209921,2172,14661
15,889278841981685760,5190,24494
16,888917238123831296,4343,28261
17,888804989199671297,4130,24787
18,888554962724278272,3407,19232
19,888078434458587136,3361,21113
20,887705289381826560,5183,29309
21,887517139158093824,11283,44923
22,887473957103951883,17499,66871
23,887343217045368832,10054,32676
24,887101392804085760,5745,29661
25,886983233522544640,7477,34069
26,886736880519319552,3144,11671
27,886680336477933568,4303,21776
28,886366144734445568,3085,20544
29,886267009285017600,4,116
30,886258384151887873,6079,27173
31,886054160059072513,105,0
32,885984800019947520,6538,31636
33,885528943205470208,6195,34909
34,885518971528720385,3614,19824
35,885311592912609280,17883,0
36,885167619883638784,4224,21260
37,884925521741709313,17581,75014
38,884876753390489601,5421,27062
39,884562892145688576,4520,23567
40,884441805382717440,5472,26198
41,884247878851493888,19793,70735
42,884162670584377345,2876,19757
43,883838122936631299,3328,21231
44,883482846933004288,9571,44561
45,883360690899218434,3580,22015
46,883117836046086144,6432,36043
47,882992080364220416,3786,23217
48,882762694511734784,4727,27452
49,882627270321602560,5878,27119
50,882268110199369728,11200,43602
51,882045870035918850,4781,28478
52,881906580714921986,3283,23591
53,881666595344535552,10320,49114
54,881633300179243008,7,122
55,881536004380872706,15415,47968
56,881268444196462592,5014,22451
57,880935762899988482,2692,16553
58,880872448815771648,3694,20655
59,880465832366813184,6060,27696
60,880221127280381952,4075,26238
61,880095782870896641,4192,26819
62,879862464715927552,3382,21686
63,879674319642796034,10,302
64,879492040517615616,3075,22756
65,879415818425184262,42839,102753
66,879376492567855104,3014,16323
67,879130579576475649,6586,0
68,879050749262655488,4547,21882
69,879008229531029506,2607,18428
70,878776093423087618,3990,18851
71,878604707211726852,6957,29333
72,878404777348136964,1246,0
73,878316110768087041,6428,0
74,878281511006478336,1246,7515
75,878057613040115712,6586,40863
76,877736472329191424,18476,77396
77,877611172832227328,78,0
78,877556246731214848,3685,22078
79,877316821321428993,5036,26618
80,877201837425926144,5416,26359
81,876838120628539392,3234,20104
82,876537666061221889,4494,22906
83,876484053909872640,2315,18246
84,876120275196170240,4529,27174
85,875747767867523072,4156,24489
86,875144289856114688,4787,21335
87,875097192612077568,5877,26648
88,875021211251597312,4584,24781
89,874680097055178752,4512,27087
90,874434818259525634,14280,0
91,874296783580663808,3995,25379
