tweet_id,retweet_count,favorite_count
892420643555336193,8185,37515
892177421306343426,6054,32242
891815181378084864,4005,24286
891689557279858688,8332,40854
891327558926688256,9033,39057
891087950875897856,3000,19630
890971913173991426,1984,11473
890729181411237888,18177,63292
890609185150312448,4119,27005
890240255349198849,7108,30929
890006608113172480,7066,29758
889880896479866881,4800,26986
889665388333682689,9673,46639
889638837579907072,4372,26279
889531135344209921,2172,14658
889278841981685760,5190,24486
888917238123831296,4342,28251
888804989199671297,4130,24784
888554962724278272,3406,19226
888078434458587136,3361,21104
887705289381826560,5182,29305
887517139158093824,11277,44913
887473957103951883,17498,66859
887343217045368832,10053,32660
887101392804085760,5744,29649
886983233522544640,7476,34054
886736880519319552,3144,11666
886680336477933568,4302,21768
886366144734445568,3084,20535
886267009285017600,4,116
886258384151887873,6079,27164
886054160059072513,105,0
885984800019947520,6538,31627
885528943205470208,6194,34896
885518971528720385,3613,19822
885311592912609280,17882,0
885167619883638784,4224,21249
884925521741709313,17578,75005
884876753390489601,5420,27051
884562892145688576,4519,23562
884441805382717440,5471,26192
884247878851493888,19792,70719
884162670584377345,2876,19755
883838122936631299,3327,21226
883482846933004288,9570,44556
883360690899218434,3580,22008
883117836046086144,6431,36032
882992080364220416,3784,23209
882762694511734784,4726,27439
882627270321602560,5877,27115
882268110199369728,11199,43588
882045870035918850,4780,28472
881906580714921986,3283,23585
881666595344535552,10319,49109
881633300179243008,7,122
881536004380872706,15412,47961
881268444196462592,5014,22451
880935762899988482,2692,16549
880872448815771648,3694,20651
880465832366813184,6059,27686
880221127280381952,4075,26234
880095782870896641,4192,26811
879862464715927552,3381,21680
879674319642796034,10,302
879492040517615616,3075,22749
879415818425184262,42830,102728
879376492567855104,3014,16317
879130579576475649,6586,0
879050749262655488,4547,21873
879008229531029506,2607,18420
878776093423087618,3990,18841
878604707211726852,6957,29325
878404777348136964,1246,0
878316110768087041,6427,0
878281511006478336,1246,7513
878057613040115712,6586,40853
877736472329191424,18474,77366
877611172832227328,78,0
877556246731214848,3684,22078
877316821321428993,5036,26615
877201837425926144,5414,26355
876838120628539392,3234,20100
876537666061221889,4494,22903
876484053909872640,2314,18243
876120275196170240,4529,27168
875747767867523072,4156,24485
875144289856114688,4787,21332
875097192612077568,5875,26640
875021211251597312,4583,24778
874680097055178752,4512,27077
874434818259525634,14276,0
874296783580663808,3994,25375
874057562936811520,3838,22110
874012996292530176,10108,33571
873580283840344065,3828,23572
873337748698140672,1543,0
873213775632977920,1543,7043
872967104147763200,5275,26594
872820683541237760,3610,14350
872620804844003328,3587,20240
872486979161796608,8796,39689
872122724285648897,7940,33540
871879754684805121,10880,36980
871762521631449091,3403,19781
871515927908634625,3377,19715
871166179821445120,5568,0
871102520638267392,5399,20461
871032628920680449,3737,22161
870804317367881728,6063,32882
870726314365509632,3,116
870656317836468226,2593,12131
870374049280663552,25733,80970
870308999962521604,4076,21401
870063196459192321,8183,35843
869772420881756160,9855,41582
869702957897576449,6233,27693
869596645499047938,3082,15668
869227993411051520,3733,20073
868880397819494401,14236,64302
868639477480148993,2055,0
868622495443632128,5217,26229
868552278524837888,2055,9937
867900495410671616,4118,23780
867774946302451713,7255,33393
867421006826221569,2463,15852
867072653475098625,119,0
867051520902168576,7770,31731
866720684873056260,4758,19741
866686824827068416,3441,18973
866450705531457537,34935,120377
866334964761202691,14276,51728
866094527597207552,8283,0
865718153858494464,5572,25273
